Microsoft (R) COFF/PE Dumper Version 14.35.32215.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\winmm.dll

File Type: DLL

  Section contains the following exports for WINMM.dll

    00000000 characteristics
    5DCFFCC9 time date stamp
        0.00 version
           2 ordinal base
         181 number of functions
         180 number of names

    ordinal hint RVA      name

        156   99 00010A20 waveInReset
        157   9A 00010A40 waveInStart
        158   9B 00010A60 waveInStop
        159   9C 000096A0 waveInUnprepareHeader
        160   9D 00010A80 waveOutBreakLoop
        161   9E 00010AA0 waveOutClose
        162   9F 0000BD60 waveOutGetDevCapsA
        163   A0 00010AC0 waveOutGetDevCapsW
        164   A1 00010AE0 waveOutGetErrorTextA
        165   A2 00010B00 waveOutGetErrorTextW
        166   A3 00010B20 waveOutGetID
        167   A4 0000A060 waveOutGetNumDevs
        168   A5 00010B40 waveOutGetPitch
        169   A6 00010B60 waveOutGetPlaybackRate
        170   A7 00009610 waveOutGetPosition
        171   A8 0000C1A0 waveOutGetVolume
        172   A9 00009F60 waveOutMessage
        173   AA 0000BD20 waveOutOpen
        174   AB 00010B80 waveOutPause
        175   AC 000093F0 waveOutPrepareHeader
        176   AD 00010BA0 waveOutReset
        177   AE 00010BC0 waveOutRestart
        178   AF 00010BE0 waveOutSetPitch
        179   B0 00010C00 waveOutSetPlaybackRate
        180   B1 00010C20 waveOutSetVolume
        181   B2 00009630 waveOutUnprepareHeader
        182   B3 00009360 waveOutWrite
          2      00010030 [NONAME]

  Summary

        3000 .data
        1000 .didat
        1000 .guids
        2000 .pdata
        A000 .rdata
        1000 .reloc
        5000 .rsrc
       1D000 .text
        1000 fothk
